Model,Scale Method,Data Split,City,MSE,R2,MAE,MAPE
LSTM,minmax,0.2,Kolkata,0.0022967251905042,0.9615240458691964,0.0311481951273833,38.88465643954883
LSTM,maxabs,0.2,Kolkata,0.0018950955734607,0.9617178548063886,0.0277872172457131,10.194265181094824
LSTM,robust,0.2,Kolkata,0.0168578406882693,0.9572123566163367,0.0830072598591074,inf
LSTM,maxabs,0.2,Patna,0.0037303722477202,0.8711458369319091,0.0514207992624646,15.750801190228476
LSTM,standard,0.2,Patna,0.1037848729718147,0.8968580894649574,0.2600858354259788,104.17411190667232
LSTM,minmax,0.2,Patna,0.0045337206297663,0.8781855726409897,0.0566734670724346,38.24684579688717
LSTM,maxabs,0.2,Patna,0.0036563901412524,0.8737013198107954,0.0510649331695627,15.787035231581372
LSTM,robust,0.2,Patna,0.0661507266508194,0.8944537404879296,0.2088362003119927,inf
LSTM,maxabs,0.2,Visakhapatnam,0.002705028528821,0.8588454715007138,0.0376634191037293,13.258545841008957
LSTM,standard,0.2,Visakhapatnam,0.1090715512121739,0.8847530192126999,0.2277617564463674,720.9311279038416
LSTM,minmax,0.2,Visakhapatnam,0.0028690784583714,0.8675517489655672,0.0387121719335383,17.63615683252331
LSTM,maxabs,0.2,Visakhapatnam,0.0027191966413708,0.8581061472291251,0.0374070402796624,12.880166842098909
LSTM,robust,0.2,Visakhapatnam,0.1325530804597276,0.886837832146791,0.2544040500475606,inf
LSTM,maxabs,0.2,Amaravati,0.0049738742142582,0.8518403687912773,0.0549791470258193,17.589146542746338
LSTM,standard,0.2,Amaravati,0.1127690493693469,0.8827232563602886,0.2564062505883903,147.28175888692414
LSTM,minmax,0.2,Amaravati,0.00565064714991,0.856580215137669,0.0562528426193783,28.14096913889375
LSTM,maxabs,0.2,Amaravati,0.0049642495144196,0.852127065220893,0.0552849854414279,17.82461321460556
LSTM,robust,0.2,Amaravati,0.0959190010836525,0.8778903521539574,0.2390112504857322,inf
LSTM,maxabs,0.2,Amritsar,0.0026419816392895,0.9003987717690976,0.0350165408256631,12.571137104951482
LSTM,standard,0.2,Amritsar,0.0874653215931539,0.9102239118795998,0.2012912528063078,237.1156604550452
LSTM,minmax,0.2,Amritsar,0.0030101396608995,0.9042817407092808,0.0384615512953536,36.2636931469689
LSTM,maxabs,0.2,Amritsar,0.002463969177897,0.907109741872533,0.0340777757160159,13.16365901815514
LSTM,robust,0.2,Amritsar,0.0935437856131279,0.9154803896103028,0.2119710562740177,89.01430429009439
LSTM,maxabs,0.2,Chandigarh,0.0054781168464824,0.8535932567294491,0.0492266718075791,15.933689126186772
LSTM,standard,0.2,Chandigarh,0.17271683183917,0.8755026183760003,0.2807893887036547,450.2647375295221
LSTM,minmax,0.2,Chandigarh,0.0062370786008879,0.8581797160196641,0.0531931553245662,25.39165335358912
LSTM,maxabs,0.2,Chandigarh,0.0054689899701932,0.853837179280059,0.0492032180450904,15.930337399830805
LSTM,robust,0.2,Chandigarh,0.2457374706149883,0.8707271646592684,0.3345869675754233,inf
RNN,minmax,0.2,Delhi,0.004215740450027,0.8729926337847063,0.0500200412323171,22.64389118384973
RNN,standard,0.2,Delhi,0.0833657996955316,0.914885163344578,0.2157524064725769,67.650141242045
RNN,minmax,0.2,Delhi,0.0043321568994735,0.8694853622143586,0.0508954431027292,23.128410135675065
RNN,maxabs,0.2,Delhi,0.0037593249219887,0.8675373070555501,0.0467742981527685,13.919802829727
RNN,robust,0.2,Delhi,0.0318708600146376,0.9174965140693424,0.1334688473149396,91.99454653604818
RNN,minmax,0.2,Gurugram,0.010267346373849,0.5552632229088057,0.085394488680916,21.93493362712317
RNN,standard,0.2,Gurugram,0.2807584939365114,0.5309454815690406,0.4503683358766765,120.70508728486855
RNN,minmax,0.2,Gurugram,0.0103837671575961,0.550220381042481,0.0863839164709618,22.1072149451468
RNN,maxabs,0.2,Gurugram,0.0055366706374427,0.5326441820861063,0.0624728301205696,10.371859603484044
RNN,robust,0.2,Gurugram,0.1273854343640891,0.5297047628773577,0.3046267011213576,117.21055678974125
RNN,minmax,0.2,Hyderabad,0.0012001718381065,0.8406653990893702,0.02497670455928,22.031061286953395
RNN,standard,0.2,Hyderabad,0.1251252748214542,0.8492516500993309,0.2574643597450506,195.63577371736457
RNN,minmax,0.2,Hyderabad,0.0014148154900021,0.8121693458352359,0.0284455600771555,26.04095937774712
RNN,maxabs,0.2,Hyderabad,0.0012165177357693,0.8184336724424802,0.0232256058696409,10.861834019401517
RNN,robust,0.2,Hyderabad,0.0793263864342211,0.8481907758692782,0.2032811071850473,inf
RNN,minmax,0.2,Kolkata,0.0026121440759012,0.9562399820131025,0.0316096719020422,30.517970068670763
RNN,standard,0.2,Kolkata,0.0445529274043485,0.9553996309534702,0.1259449402428433,5999.524459673506
RNN,minmax,0.2,Kolkata,0.0027404548869019,0.9540904514994116,0.0318122867012372,30.689018735737488
RNN,maxabs,0.2,Kolkata,0.0022024409245808,0.9555092817291616,0.0298448280345274,11.733703518735812
RNN,robust,0.2,Kolkata,0.0173542650829657,0.9559523595407918,0.082285523461384,inf
RNN,minmax,0.2,Patna,0.0042249679776354,0.8864813038044782,0.0533445593595844,34.70072246793593
RNN,standard,0.2,Patna,0.1011275268291813,0.8994989729603639,0.2692364095688103,99.75875800032944
RNN,minmax,0.2,Patna,0.0042088402590586,0.8869146319610781,0.0547450958989701,38.35635459328891
RNN,maxabs,0.2,Patna,0.0032716984332061,0.8869893041694162,0.0490962871775881,15.909470398662029
RNN,robust,0.2,Patna,0.067360543752609,0.8925234265480442,0.2202007972040306,inf
RNN,minmax,0.2,Visakhapatnam,0.0038830079116161,0.8207446697228544,0.0449358945191804,19.082568852358907
RNN,standard,0.2,Visakhapatnam,0.1205115913314661,0.8726652651725166,0.245343348541576,799.217758587096
RNN,minmax,0.2,Visakhapatnam,0.0035490989093917,0.8361592580622642,0.044237287606242,20.35957097627459
RNN,maxabs,0.2,Visakhapatnam,0.0029477183284146,0.8461813669013625,0.0397787133886734,13.84171010864354
RNN,robust,0.2,Visakhapatnam,0.1500134362405978,0.8719317152553627,0.2760747552280397,inf
RNN,minmax,0.2,Amaravati,0.0081420426554477,0.7933457929676556,0.0746910149725074,37.0301484436866
RNN,standard,0.2,Amaravati,0.1515930172364323,0.8423473859234292,0.3017854052195872,181.2400178099268
RNN,minmax,0.2,Amaravati,0.0072490579432485,0.8160107500798679,0.0668531880753799,29.2014437061911
RNN,maxabs,0.2,Amaravati,0.0064369280719781,0.8082595481551448,0.063975196474285,19.550556081546613
RNN,robust,0.2,Amaravati,0.1168470942835445,0.8512478510659898,0.2681298538909188,inf
RNN,minmax,0.2,Amritsar,0.003149387260288,0.8998538605025905,0.0385770665732185,27.91894242032934
RNN,standard,0.2,Amritsar,0.0837977867114631,0.9139883402121778,0.2008584659158591,299.9294924390952
RNN,minmax,0.2,Amritsar,0.0029955291873466,0.9047463334702288,0.0382936436638422,35.60605072089085
RNN,maxabs,0.2,Amritsar,0.0028151570080681,0.8938701573483232,0.0394739028391287,16.734153003429057
RNN,robust,0.2,Amritsar,0.0951936084826384,0.9139897252628096,0.2124549266233304,107.41570997108644
RNN,minmax,0.2,Chandigarh,0.0065424015633729,0.8512372046267205,0.0571655895816307,27.764486172979947
RNN,standard,0.2,Chandigarh,0.2166989681056994,0.8437995078852307,0.3253490292097708,518.0507246687235
RNN,minmax,0.2,Chandigarh,0.0069437800859632,0.8421105574093435,0.0579354169038376,27.062410948739767
RNN,maxabs,0.2,Chandigarh,0.0061315232093795,0.8361304861634179,0.0550061408767917,18.00352954778883
RNN,robust,0.2,Chandigarh,0.3104167863479511,0.8367019160401898,0.3887988219439621,inf
